User Story DB,이름,마감 날짜,상태,작업 날짜,작업자,카테고리
성체 크리처 성장 시스템 (%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8E%E1%85%A6%20%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8E%E1%85%A5%20%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d816898cace1e016550d7.md),크리처 성체 상태 행동 로직 개발,,시작 전,,,
성체 크리처 성장 시스템 (%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8E%E1%85%A6%20%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8E%E1%85%A5%20%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d816898cace1e016550d7.md),성체 크리처의 공격 패턴 추가 구현,,시작 전,,,
성체 크리처 성장 시스템 (%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8E%E1%85%A6%20%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8E%E1%85%A5%20%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%A1%E1%86%BC%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d816898cace1e016550d7.md),크리처 성장 시각적 효과 및 애니메이션 추가,,시작 전,,,
방어벽 관리 시스템 (%E1%84%87%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%84%87%E1%85%A7%E1%86%A8%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d817cacd9c3e8d58f123c.md),중앙기지의 방어벽(철문) 기본 동작 및 애니메이션 구현,,시작 전,,,
방어벽 관리 시스템 (%E1%84%87%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%84%87%E1%85%A7%E1%86%A8%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d817cacd9c3e8d58f123c.md),방어벽 내구도 및 수리 로직 개발,,시작 전,,,
방어벽 관리 시스템 (%E1%84%87%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%84%87%E1%85%A7%E1%86%A8%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d817cacd9c3e8d58f123c.md),방어벽 작동 시 중앙 전력 소모 로직 개발,,시작 전,,,
방어벽 관리 시스템 (%E1%84%87%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%84%87%E1%85%A7%E1%86%A8%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d817cacd9c3e8d58f123c.md),방어벽 UI 및 상태 표시 시스템 개발,,시작 전,,,
방어벽 관리 시스템 (%E1%84%87%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%84%87%E1%85%A7%E1%86%A8%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d817cacd9c3e8d58f123c.md),방어벽 파괴 시 애니메이션 및 상태 처리,,시작 전,,,
중앙 전력 운영 및 관리 (%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1%E1%86%BC%20%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%85%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d8128b7b3e83b2d905227.md),전력 소모 로직 및 경고 시스템 개발,,시작 전,,,
중앙 전력 운영 및 관리 (%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1%E1%86%BC%20%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%85%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d8128b7b3e83b2d905227.md),중앙 전력 사용량 모니터링 시스템 구현,,시작 전,,,
중앙 전력 운영 및 관리 (%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1%E1%86%BC%20%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%85%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d8128b7b3e83b2d905227.md),전력 사용에 따른 시각적 피드백 시스템 구현,,시작 전,,,
중앙 전력 운영 및 관리 (%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1%E1%86%BC%20%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%85%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d8128b7b3e83b2d905227.md),전력 관리 UI 및 인터페이스 디자인,,시작 전,,,
게임 오버 조건 처리 시스템 (%E1%84%80%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%B7%20%E1%84%8B%E1%85%A9%E1%84%87%E1%85%A5%20%E1%84%8C%E1%85%A9%E1%84%80%E1%85%A5%E1%86%AB%20%E1%84%8E%E1%85%A5%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8198939adbda20539d69.md),중앙 전력 고갈 조건 체크 및 게임 오버 로직 구현,,시작 전,,,
게임 오버 조건 처리 시스템 (%E1%84%80%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%B7%20%E1%84%8B%E1%85%A9%E1%84%87%E1%85%A5%20%E1%84%8C%E1%85%A9%E1%84%80%E1%85%A5%E1%86%AB%20%E1%84%8E%E1%85%A5%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8198939adbda20539d69.md),생존 필수 시설 수리 및 업그레이드 시스템 구현,,시작 전,,,
게임 오버 조건 처리 시스템 (%E1%84%80%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%B7%20%E1%84%8B%E1%85%A9%E1%84%87%E1%85%A5%20%E1%84%8C%E1%85%A9%E1%84%80%E1%85%A5%E1%86%AB%20%E1%84%8E%E1%85%A5%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8198939adbda20539d69.md),자원 부족 상태 감지 및 처리 로직 개발,,시작 전,,,
게임 오버 조건 처리 시스템 (%E1%84%80%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%B7%20%E1%84%8B%E1%85%A9%E1%84%87%E1%85%A5%20%E1%84%8C%E1%85%A9%E1%84%80%E1%85%A5%E1%86%AB%20%E1%84%8E%E1%85%A5%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8198939adbda20539d69.md),게임 오버 UI 및 애니메이션 처리,,시작 전,,,
오전-오후 사이클 관리 시스템 (%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%86%AF%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d810bb5a2d7ec1167a71d.md),오전-오후 시간 전환 및 상태 초기화 로직 개발,,시작 전,,,
게임 오버 조건 처리 시스템 (%E1%84%80%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%B7%20%E1%84%8B%E1%85%A9%E1%84%87%E1%85%A5%20%E1%84%8C%E1%85%A9%E1%84%80%E1%85%A5%E1%86%AB%20%E1%84%8E%E1%85%A5%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d8198939adbda20539d69.md),게임 오버 시 통계 및 피드백 표시 시스템 개발,,시작 전,,,
오전-오후 사이클 관리 시스템 (%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%86%AF%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d810bb5a2d7ec1167a71d.md),사이클별 크리처 행동 변화 시스템 통합,,시작 전,,,
오전-오후 사이클 관리 시스템 (%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%86%AF%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d810bb5a2d7ec1167a71d.md),전체 사이클 UI 안내 시스템 개발,,시작 전,,,
오전-오후 사이클 관리 시스템 (%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%86%AF%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d810bb5a2d7ec1167a71d.md),사이클 변화 시 이벤트 및 연출 효과 추가,,시작 전,,,
오전-오후 사이클 관리 시스템 (%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%86%AF%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d810bb5a2d7ec1167a71d.md),사이클 전환 시 플레이어 상태 유지 및 업데이트 로직 개발,,시작 전,,,
종합 QA 및 밸런스 관리 (%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A1%E1%86%B8%20QA%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%87%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%86%AB%E1%84%89%E1%85%B3%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d811aa9abce82b031ed8f.md),전체 시스템 QA 진행 및 버그 수정,,시작 전,,,
종합 QA 및 밸런스 관리 (%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A1%E1%86%B8%20QA%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%87%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%86%AB%E1%84%89%E1%85%B3%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d811aa9abce82b031ed8f.md),실제 플레이 환경에서 피드백 수집 및 반영,,시작 전,,,
종합 QA 및 밸런스 관리 (%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A1%E1%86%B8%20QA%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%87%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%86%AB%E1%84%89%E1%85%B3%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d811aa9abce82b031ed8f.md),"크리처, 아이템, 전력 소모 등 게임 내 요소 밸런스 조정",,시작 전,,,
종합 QA 및 밸런스 관리 (%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A1%E1%86%B8%20QA%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%87%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%86%AB%E1%84%89%E1%85%B3%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d811aa9abce82b031ed8f.md),최종 플레이 가능 빌드 제작 및 안정화,,시작 전,,,
종합 QA 및 밸런스 관리 (%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A1%E1%86%B8%20QA%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%87%E1%85%A2%E1%86%AF%E1%84%85%E1%85%A5%E1%86%AB%E1%84%89%E1%85%B3%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d811aa9abce82b031ed8f.md),QA 로그 및 피드백 시스템 구축 및 관리,,시작 전,,,
스타트 버튼  (%E1%84%89%E1%85%B3%E1%84%90%E1%85%A1%E1%84%90%E1%85%B3%20%E1%84%87%E1%85%A5%E1%84%90%E1%85%B3%E1%86%AB%201c5c47c7ac2d8060a215f0e8c92c53b8.md),스타트 버튼 모델링,,시작 전,,,[모델링 및 리소스]
스타트 버튼  (%E1%84%89%E1%85%B3%E1%84%90%E1%85%A1%E1%84%90%E1%85%B3%20%E1%84%87%E1%85%A5%E1%84%90%E1%85%B3%E1%86%AB%201c5c47c7ac2d8060a215f0e8c92c53b8.md),스타트 버튼 로직 개발,,완료,,,[로직 개발]
미니맵 업그레이드 (%E1%84%86%E1%85%B5%E1%84%82%E1%85%B5%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%8B%E1%85%A5%E1%86%B8%E1%84%80%E1%85%B3%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3%201c5c47c7ac2d804abb51e5f9c7326c1c.md),센터 최단거리 표시,,시작 전,,,
중앙 전력 운영 및 관리 (%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1%E1%86%BC%20%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%85%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d8128b7b3e83b2d905227.md),센터 모델링 수정,2025년 3월 31일 → 2025년 4월 6일,완료,2025년 3월 9일,민영,[모델링 및 리소스]
"무우(Moo) 개발 (%E1%84%86%E1%85%AE%E1%84%8B%E1%85%AE(Moo)%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8132a7e5f58060eefdb0.md), AI 오후 패턴 개발 (AI%20%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%91%E1%85%A2%E1%84%90%E1%85%A5%E1%86%AB%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80dd9a68d43b2a2cd616.md)",무우 AI 오후 패턴 개발,2025년 4월 2일,시작 전,,세찬,[로직 개발]
AI 오후 패턴 개발 (AI%20%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%91%E1%85%A2%E1%84%90%E1%85%A5%E1%86%AB%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80dd9a68d43b2a2cd616.md),Rampage 오후 패턴 개발,2025년 4월 1일,BackLog,,세찬,[로직 개발]
AI 오후 패턴 개발 (AI%20%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%91%E1%85%A2%E1%84%90%E1%85%A5%E1%86%AB%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80dd9a68d43b2a2cd616.md),RSP 오후 패턴 개발,2025년 4월 1일,BackLog,,세찬,[로직 개발]
시야 제한 만들기 (%E1%84%89%E1%85%B5%E1%84%8B%E1%85%A3%20%E1%84%8C%E1%85%A6%E1%84%92%E1%85%A1%E1%86%AB%20%E1%84%86%E1%85%A1%E1%86%AB%E1%84%83%E1%85%B3%E1%86%AF%E1%84%80%E1%85%B5%201c5c47c7ac2d80c6aef9c3a9cd49febc.md),포스트 프로세싱으로 Fog 값 조절 해서 처리,2025년 4월 1일,BackLog,,세찬,라이팅
"시야 제한 만들기 (%E1%84%89%E1%85%B5%E1%84%8B%E1%85%A3%20%E1%84%8C%E1%85%A6%E1%84%92%E1%85%A1%E1%86%AB%20%E1%84%86%E1%85%A1%E1%86%AB%E1%84%83%E1%85%B3%E1%86%AF%E1%84%80%E1%85%B5%201c5c47c7ac2d80c6aef9c3a9cd49febc.md), 오전-오후 사이클 관리 시스템 (%E1%84%8B%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%AB-%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3%E1%86%AF%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%201c5c47c7ac2d810bb5a2d7ec1167a71d.md)",오전과 오후에 따라서 시야 범위 연결하기,2025년 4월 1일,BackLog,,세찬,[로직 개발]
,병원 맵 구축,2025년 3월 30일 → 2025년 3월 31일,완료,2025년 3월 9일,민영,
AI 오후 패턴 개발 (AI%20%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%91%E1%85%A2%E1%84%90%E1%85%A5%E1%86%AB%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80dd9a68d43b2a2cd616.md),Cube 오후 패턴 개발,2025년 4월 1일,BackLog,,세찬,[로직 개발]
중앙 전력 운영 및 관리 (%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1%E1%86%BC%20%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%85%E1%85%A7%E1%86%A8%20%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC%20%E1%84%86%E1%85%B5%E1%86%BE%20%E1%84%80%E1%85%AA%E1%86%AB%E1%84%85%E1%85%B5%201c5c47c7ac2d8128b7b3e83b2d905227.md),배터리 모델링에서 충전기능까지 있어야함,2025년 4월 1일 → 2025년 4월 6일,시작 전,,민영,[모델링 및 리소스]
아이템 총 (%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%8E%E1%85%A9%E1%86%BC%201c6c47c7ac2d80199b81c1d68754c6a3.md),총 총알 세이브 및 들었을때 총알 세이브 처리,,BackLog,2025년 4월 7일,세찬,[로직 개발]
팔 빼기 (%E1%84%91%E1%85%A1%E1%86%AF%20%E1%84%88%E1%85%A2%E1%84%80%E1%85%B5%201c6c47c7ac2d80769b09cd6d1e00d0e1.md),팔 애니메이션 빼기,,완료,2025년 3월 30일,세찬,[로직 개발]
팔 빼기 (%E1%84%91%E1%85%A1%E1%86%AF%20%E1%84%88%E1%85%A2%E1%84%80%E1%85%B5%201c6c47c7ac2d80769b09cd6d1e00d0e1.md),Hand Pivot 바꾸기,,완료,2025년 3월 30일,세찬,
K-Apt 개발 (K-Apt%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c7c47c7ac2d80d1bcf0e8dc41ffb3b2.md),벽지,2025년 4월 1일 → 2025년 4월 7일,완료,2025년 3월 11일,민영,[모델링 및 리소스]
K-Apt 개발 (K-Apt%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c7c47c7ac2d80d1bcf0e8dc41ffb3b2.md),바닥,2025년 4월 1일 → 2025년 4월 7일,완료,2025년 3월 15일,민영,[모델링 및 리소스]
병원 (%E1%84%87%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%201c7c47c7ac2d800c9213ecfd3773e505.md),다른 문 사이즈 리사이징,2025년 4월 1일 → 2025년 4월 7일,완료,2025년 3월 10일,민영,[모델링 및 리소스]
병원 (%E1%84%87%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%201c7c47c7ac2d800c9213ecfd3773e505.md),,,시작 전,,,
군단 시스템 개발  (%E1%84%80%E1%85%AE%E1%86%AB%E1%84%83%E1%85%A1%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80ebbbb4c515e565f2ea.md),RegionManager 기획 및 알고리즘 구축,2025년 4월 2일 → 2025년 4월 3일,완료,2025년 4월 2일 → 2025년 4월 5일,세찬,[로직 개발]
군단 시스템 개발  (%E1%84%80%E1%85%AE%E1%86%AB%E1%84%83%E1%85%A1%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80ebbbb4c515e565f2ea.md),RegionManager 시스템,2025년 4월 2일 → 2025년 4월 3일,완료,2025년 4월 5일,세찬,[로직 개발]
군단 시스템 개발  (%E1%84%80%E1%85%AE%E1%86%AB%E1%84%83%E1%85%A1%E1%86%AB%20%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80ebbbb4c515e565f2ea.md),RegionManager에 맞춰서 치트 시스템 개발,2025년 4월 2일 → 2025년 4월 3일,완료,2025년 4월 6일,세찬,[로직 개발]
AI 오후 패턴 개발 (AI%20%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE%20%E1%84%91%E1%85%A2%E1%84%90%E1%85%A5%E1%86%AB%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d80dd9a68d43b2a2cd616.md),모든 AI가 오후에 달려드는 코드 개발,2025년 4월 1일,진행 중,2025년 4월 13일 → 2025년 4월 22일,세찬,[로직 개발]
최적화 (%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A5%E1%86%A8%E1%84%92%E1%85%AA%201cfc47c7ac2d80d1a508f0ae4ccc3ae6.md),최적화,2025년 4월 8일,BackLog,,세찬,
맵 생성 알고리즘 개선 (%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%89%E1%85%A5%E1%86%AB%201d4c47c7ac2d80cb9130e9e0b449c736.md)," 계단 있는 룸 만들기 및 알고리즘 추가",2025년 4월 1일,시작 전,,"민영, 세찬",
맵 생성 알고리즘 개선 (%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%89%E1%85%A5%E1%86%AB%201d4c47c7ac2d80cb9130e9e0b449c736.md),방 생성될때 내부적으로 안으로 돌아서 문제가 됨,2025년 4월 1일,완료,,세찬,
맵 생성 알고리즘 개선 (%E1%84%86%E1%85%A2%E1%86%B8%20%E1%84%89%E1%85%A2%E1%86%BC%E1%84%89%E1%85%A5%E1%86%BC%20%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%80%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3%E1%86%B7%20%E1%84%80%E1%85%A2%E1%84%89%E1%85%A5%E1%86%AB%201d4c47c7ac2d80cb9130e9e0b449c736.md)," SelectedDoor가 하나에서 2개 이상이 되게끔 개선",2025년 4월 1일,완료,,세찬,
,센터 방어 시설 VFX 개발,2025년 4월 1일,시작 전,,세찬,
,센터 방어 시설 구축,2025년 4월 1일,시작 전,,세찬,
,미니맵 개발,2025년 4월 1일,시작 전,,세찬,
,스캔 시스템 재정립,2025년 4월 1일,시작 전,,세찬,
,오늘 날짜 표시 하는 기계 만들기,2025년 4월 1일,시작 전,,세찬,
,아이템 들고 있는 것들도 애니메이션 자연스럽게 처리 하면 좋음,2025년 4월 1일,시작 전,,세찬,
,센터 배터리 수급 및 아이템 판매 아이템 구축,2025년 4월 1일,시작 전,,세찬,
